Step,Agent_ID,Yard
1,0,5
1,1,38
1,2,81
2,0,88
2,1,42
2,2,60
3,0,54
3,1,41
3,2,33
4,0,41
4,1,100
4,2,10
5,0,3
5,1,41
5,2,4
6,0,78
6,1,76
6,2,91
7,0,100
7,1,51
7,2,77
8,0,33
8,1,1
8,2,83
9,0,4
9,1,65
9,2,35
10,0,9
10,1,52
10,2,63
11,0,28
11,1,4
11,2,9
12,0,6
12,1,16
12,2,92
13,0,37
13,1,94
13,2,58
14,0,83
14,1,92
14,2,76
15,0,92
15,1,42
15,2,63
16,0,27
16,1,95
16,2,84
17,0,66
17,1,40
17,2,11
18,0,21
18,1,16
18,2,73
19,0,68
19,1,29
19,2,5
20,0,76
20,1,8
20,2,58
21,0,41
21,1,23
21,2,56
22,0,71
22,1,94
22,2,9
23,0,100
23,1,14
23,2,17
24,0,74
24,1,11
24,2,48
25,0,40
25,1,27
25,2,24
26,0,92
26,1,47
26,2,91
27,0,0
27,1,97
27,2,23
28,0,67
28,1,25
28,2,30
29,0,68
29,1,13
29,2,54
30,0,31
30,1,40
30,2,34
31,0,88
31,1,16
31,2,50
32,0,50
32,1,21
32,2,54
33,0,12
33,1,59
33,2,52
34,0,46
34,1,44
34,2,70
35,0,2
35,1,84
35,2,65
36,0,77
36,1,28
36,2,19
37,0,81
37,1,34
37,2,57
38,0,36
38,1,98
38,2,91
39,0,0
39,1,42
39,2,15
40,0,73
40,1,67
40,2,91
41,0,70
41,1,57
41,2,38
42,0,99
42,1,36
42,2,83
43,0,42
43,1,65
43,2,13
44,0,10
44,1,3
44,2,61
45,0,61
45,1,59
45,2,14
46,0,51
46,1,24
46,2,79
47,0,55
47,1,94
47,2,72
48,0,56
48,1,56
48,2,56
49,0,55
49,1,59
49,2,101
50,0,20
50,1,15
50,2,85
51,0,19
51,1,45
51,2,43
52,0,9
52,1,69
52,2,31
53,0,16
53,1,5
53,2,88
54,0,88
54,1,55
54,2,48
55,0,71
55,1,88
55,2,22
56,0,69
56,1,42
56,2,31
57,0,11
57,1,2
57,2,29
58,0,7
58,1,47
58,2,71
59,0,14
59,1,66
59,2,39
60,0,62
60,1,90
60,2,85
61,0,23
61,1,101
61,2,100
62,0,83
62,1,13
62,2,36
63,0,5
63,1,53
63,2,24
64,0,73
64,1,1
