Step,Agent_ID,Action
1,0,7
1,1,93
1,2,28
1,3,33
2,0,26
2,1,57
2,2,6
2,3,64
3,0,5
3,1,101
3,2,42
3,3,48
4,0,51
4,1,37
4,2,87
4,3,0
5,0,0
5,1,68
5,2,70
5,3,47
6,0,49
6,1,99
6,2,25
6,3,68
7,0,83
7,1,47
7,2,88
7,3,19
8,0,83
8,1,86
8,2,54
8,3,2
9,0,85
9,1,10
9,2,88
9,3,23
10,0,86
10,1,67
10,2,8
10,3,88
11,0,20
11,1,44
11,2,90
11,3,81
12,0,83
12,1,46
12,2,41
12,3,20
13,0,82
13,1,96
13,2,10
13,3,52
14,0,44
14,1,29
14,2,24
14,3,5
15,0,34
15,1,3
15,2,22
15,3,39
16,0,25
16,1,66
16,2,46
16,3,65
17,0,42
17,1,76
17,2,70
17,3,89
18,0,66
18,1,83
18,2,41
18,3,94
19,0,54
19,1,96
19,2,46
19,3,83
20,0,98
20,1,67
20,2,3
20,3,72
21,0,81
21,1,88
21,2,82
21,3,79
22,0,5
22,1,39
22,2,89
22,3,2
23,0,28
23,1,8
23,2,94
23,3,97
24,0,74
24,1,35
24,2,89
24,3,39
25,0,89
25,1,85
25,2,68
25,3,2
26,0,67
26,1,37
26,2,8
26,3,50
27,0,18
27,1,25
27,2,9
27,3,50
28,0,56
28,1,79
28,2,46
28,3,97
29,0,44
29,1,11
29,2,13
29,3,65
30,0,14
30,1,95
30,2,4
30,3,22
31,0,94
31,1,73
31,2,64
31,3,32
32,0,51
32,1,100
32,2,69
32,3,30
33,0,101
33,1,85
33,2,9
33,3,67
34,0,93
34,1,66
34,2,79
34,3,24
35,0,67
35,1,74
35,2,37
35,3,72
36,0,40
36,1,82
36,2,45
36,3,24
37,0,50
37,1,0
37,2,93
37,3,24
38,0,80
38,1,15
38,2,70
38,3,44
39,0,75
39,1,95
39,2,67
39,3,72
40,0,32
40,1,1
40,2,92
40,3,93
41,0,63
41,1,26
41,2,12
41,3,6
42,0,81
42,1,87
42,2,44
42,3,52
43,0,80
43,1,71
43,2,2
43,3,23
44,0,29
44,1,48
44,2,52
44,3,61
45,0,25
45,1,24
45,2,61
45,3,13
46,0,86
46,1,90
46,2,14
46,3,6
47,0,80
47,1,67
47,2,46
47,3,77
48,0,24
48,1,24
48,2,27
48,3,95
49,0,57
49,1,100
49,2,64
49,3,47
50,0,51
50,1,13
50,2,19
50,3,70
51,0,31
51,1,75
51,2,23
51,3,101
52,0,89
52,1,101
52,2,2
52,3,26
53,0,40
53,1,48
53,2,70
53,3,87
54,0,42
54,1,88
54,2,3
54,3,94
55,0,19
55,1,33
55,2,56
55,3,59
56,0,47
56,1,55
56,2,49
56,3,99
57,0,43
57,1,92
57,2,43
57,3,17
58,0,26
58,1,93
58,2,27
58,3,12
59,0,52
59,1,76
59,2,16
59,3,59
60,0,76
60,1,50
60,2,25
60,3,87
61,0,101
61,1,98
61,2,90
61,3,57
62,0,75
62,1,85
62,2,39
62,3,90
63,0,16
63,1,65
63,2,83
63,3,70
