step,agente,lucro,variabilidade,sustentabilidade,erroEls,erro_anteriorEls,erroEsv,erro_anteriorEsv,erroEvl,erro_anteriorEvl,saidaEvl,saidaEls,saidaEsv,fila
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.7875339637292741,1.0,0.7666666666666666,0.027218213559922804,0,-0.2333333333333334,0,0.26978650579667457,0,-0.5,-0.0761605957652424,0.5,2
1,2,0.7875339637292741,1.0,0.7666666666666666,0.027218213559922804,0.027218213559922804,-0.2333333333333334,-0.2333333333333334,0.26978650579667457,0.26978650579667457,-0.1,-0.05443642711984561,0.1,2
2,0,0.7875339637292741,1.0,0.7666666666666666,0.027218213559922804,0.027218213559922804,-0.2333333333333334,-0.2333333333333334,0.26978650579667457,0.26978650579667457,-0.1,-0.05443642711984561,0.1,2
2,1,0.6346025571240175,0.9,0.7166666666666667,-0.11450805982695238,0.027218213559922804,-0.20370370370370372,-0.2333333333333334,0.41821048449402504,0.26978650579667457,-0.5,0.5,0.04074074074074066,0
2,2,0.5905448517928077,0.9,0.6382716049382716,-0.07477499042132646,-0.11450805982695238,-0.2908093278463649,-0.20370370370370372,0.5240163338444689,0.41821048449402504,-0.5,0.029112061700123988,0.5,2
3,0,0.5905448517928077,0.9,0.6382716049382716,-0.07477499042132646,-0.07477499042132646,-0.2908093278463649,-0.2908093278463649,0.5240163338444689,0.5240163338444689,-0.1,0.10000000000000002,0.1,0
3,1,0.5905448517928077,0.9,0.6382716049382716,-0.07477499042132646,-0.07477499042132646,-0.2908093278463649,-0.2908093278463649,0.5240163338444689,0.5240163338444689,-0.1,0.10000000000000002,0.1,0
3,2,0.5905448517928077,0.9,0.6382716049382716,-0.07477499042132646,-0.07477499042132646,-0.2908093278463649,-0.2908093278463649,0.5240163338444689,0.5240163338444689,-0.1,0.10000000000000002,0.1,0
4,0,0.5905448517928077,0.9,0.6382716049382716,-0.07477499042132646,-0.07477499042132646,-0.2908093278463649,-0.2908093278463649,0.5240163338444689,0.5240163338444689,-0.1,0.10000000000000002,0.1,0
4,1,0.5905448517928077,0.9,0.6382716049382716,-0.07477499042132646,-0.07477499042132646,-0.2908093278463649,-0.2908093278463649,0.5240163338444689,0.5240163338444689,-0.1,0.10000000000000002,0.1,0
4,2,0.5905448517928077,0.9,0.6382716049382716,-0.07477499042132646,-0.07477499042132646,-0.2908093278463649,-0.2908093278463649,0.5240163338444689,0.5240163338444689,-0.1,0.10000000000000002,0.1,0
5,0,0.5905448517928077,0.9,0.6382716049382716,-0.07477499042132646,-0.07477499042132646,-0.2908093278463649,-0.2908093278463649,0.5240163338444689,0.5240163338444689,-0.1,0.10000000000000002,0.1,0
5,1,0.5905448517928077,0.9,0.6382716049382716,-0.07477499042132646,-0.07477499042132646,-0.2908093278463649,-0.2908093278463649,0.5240163338444689,0.5240163338444689,-0.1,0.10000000000000002,0.1,0
5,2,0.5495310494995471,0.925,0.5620370370370371,-0.022251180462090923,-0.07477499042132646,-0.3923923923923923,-0.2908093278463649,0.6832533863962538,0.5240163338444689,-0.5,-0.05499353022343246,0.5,2
6,0,0.5495310494995471,0.925,0.5620370370370371,-0.022251180462090923,-0.022251180462090923,-0.3923923923923923,-0.3923923923923923,0.6832533863962538,0.6832533863962538,-0.1,0.044502360924181854,0.1,2
6,1,0.5321725709374611,0.9,0.5579629629629631,-0.046222408542220705,-0.022251180462090923,-0.3800411522633743,-0.3923923923923923,0.6911807356297675,0.6832533863962538,-0.16341879386810945,0.09343657466379433,0.075297519741964,0
6,2,0.5018274627073894,0.8833333333333333,0.5344135802469137,-0.06097546683688044,-0.046222408542220705,-0.3950034940600977,-0.3800411522633743,0.7602331458061237,0.6911807356297675,-0.5,0.1610163970165851,0.21969873437378717,2
7,0,0.4436925255654275,0.7999999999999999,0.5215608465608466,-0.14929863219005027,-0.06097546683688044,-0.34804894179894175,-0.3950034940600977,0.8030504322345878,0.7602331458061237,-0.4425382914277133,0.5,0.006090895477688063,0
